ticker,real_decision,simulated_decision,simulated_reasons,_merge,alignment_status
AACB,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AACG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AAL,PASSED,PASSED,,both,MATCH
AAME,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AAOI,PASSED,PASSED,,both,MATCH
AAON,PASSED,PASSED,,both,MATCH
AAPG,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
AAPL,PASSED,PASSED,,both,MATCH
AARD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ABAT,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ABCL,PASSED,PASSED,,both,MATCH
ABEO,PASSED,PASSED,,both,MATCH
ABLV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ABNB,PASSED,PASSED,,both,MATCH
ABOS,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ABSI,PASSED,PASSED,,both,MATCH
ABTC,REJECTED,REJECTED,PRICE_BELOW_MINIMUM,both,MATCH
ABTS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ABUS,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ABVC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ABVX,PASSED,PASSED,,both,MATCH
ACAD,PASSED,PASSED,,both,MATCH
ACB,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACCL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACDC,PASSED,PASSED,,both,MATCH
ACET,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ACFN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ACGL,PASSED,PASSED,,both,MATCH
ACHC,PASSED,PASSED,,both,MATCH
ACHV,PASSED,PASSED,,both,MATCH
ACIC,PASSED,PASSED,,both,MATCH
ACIU,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACIW,PASSED,PASSED,,both,MATCH
ACLS,PASSED,PASSED,,both,MATCH
ACMR,PASSED,PASSED,,both,MATCH
ACNB,PASSED,PASSED,,both,MATCH
ACNT,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ACOG,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ACON,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACRS,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ACRV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACT,PASSED,PASSED,,both,MATCH
ACTG,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACTU,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACXP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ADAC,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ADAG,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ADAM,PASSED,PASSED,,both,MATCH
ADBE,PASSED,PASSED,,both,MATCH
ADEA,PASSED,PASSED,,both,MATCH
ADGM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ADI,PASSED,PASSED,,both,MATCH
ADIL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ADMA,PASSED,PASSED,,both,MATCH
ADP,PASSED,PASSED,,both,MATCH
ADPT,PASSED,PASSED,,both,MATCH
ADSE,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
ADSK,PASSED,PASSED,,both,MATCH
ADTN,PASSED,PASSED,,both,MATCH
ADTX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ADUR,PASSED,PASSED,,both,MATCH
ADUS,PASSED,PASSED,,both,MATCH
ADV,PASSED,PASSED,,both,MATCH
ADVB,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ADXN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AEBI,PASSED,PASSED,,both,MATCH
AEC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AEHL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AEHR,PASSED,PASSED,,both,MATCH
AEI,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AEIS,PASSED,PASSED,,both,MATCH
AEMD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AENT,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AEP,PASSED,PASSED,,both,MATCH
AERT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AEVA,PASSED,PASSED,,both,MATCH
AEYE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AFBI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AFCG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AFJK,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AFRI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AFRM,PASSED,PASSED,,both,MATCH
AFYA,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,both,MATCH
AGCC,PASSED,PASSED,,both,MATCH
AGEN,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AGIO,PASSED,PASSED,,both,MATCH
AGMB,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,both,MATCH
AGMH,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AGNC,PASSED,PASSED,,both,MATCH
AGNT,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
AGPU,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
AGRZ,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AGYS,PASSED,PASSED,,both,MATCH
AHCO,PASSED,PASSED,,both,MATCH
AHG,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AHMA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AIAI,PASSED,PASSED,,both,MATCH
AIDX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AIFA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",both,MATCH
AIFC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AIFF,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AIFU,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AIHS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AIIO,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AIIR,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,both,MATCH
AIMD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AIOS,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
AIOT,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
AIP,PASSED,PASSED,,both,MATCH
AIRE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AIRG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AIRJ,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
AIRO,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
AIRS,PASSED,PASSED,,both,MATCH
AIRT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AISP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AIXC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AIXI,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
AKAM,PASSED,PASSED,,both,MATCH
AKAN,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
AKBA,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AKTS,PASSED,PASSED,,both,MATCH
AKTX,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
ALAB,PASSED,PASSED,,both,MATCH
ALAR,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ALBT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ALCO,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,both,MATCH
ALDF,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
ALDX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ALEC,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ALGM,PASSED,PASSED,,both,MATCH
ALGN,PASSED,PASSED,,both,MATCH
ALGS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ALGT,PASSED,PASSED,,both,MATCH
ALHC,PASSED,PASSED,,both,MATCH
ALKS,PASSED,PASSED,,both,MATCH
ALKT,PASSED,PASSED,,both,MATCH
ALLO,WATCHLIST,PASSED,PRICE_WATCHLIST_RANGE,both,MISMATCH
ALLR,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ALLT,PASSED,PASSED,,both,MATCH
ALM,PASSED,PASSED,,both,MATCH
ALMR,PASSED,PASSED,,both,MATCH
ALMS,PASSED,PASSED,,both,MATCH
ALMU,PASSED,PASSED,,both,MATCH
ALNT,PASSED,PASSED,,both,MATCH
ALNY,PASSED,PASSED,,both,MATCH
ALOT,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ALOV,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
ALOY,PASSED,PASSED,,both,MATCH
ALP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",both,MATCH
ALPS,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ALRM,PASSED,PASSED,,both,MATCH
ALRS,PASSED,PASSED,,both,MATCH
ALT,WATCHLIST,PASSED,PRICE_WATCHLIST_RANGE,both,MISMATCH
ALTI,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ALTO,PASSED,PASSED,,both,MATCH
ALVO,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ALXO,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ALZN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AMAL,PASSED,PASSED,,both,MATCH
AMAT,PASSED,PASSED,,both,MATCH
AMBA,PASSED,PASSED,,both,MATCH
AMBR,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AMCI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AMCX,PASSED,PASSED,,both,MATCH
AMD,PASSED,PASSED,,both,MATCH
AMGN,PASSED,PASSED,,both,MATCH
AMIX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AMKR,PASSED,PASSED,,both,MATCH
AMLX,PASSED,PASSED,,both,MATCH
AMOD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AMPG,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
AMPH,PASSED,PASSED,,both,MATCH
AMPL,PASSED,PASSED,,both,MATCH
AMRN,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
AMRX,PASSED,PASSED,,both,MATCH
AMSC,PASSED,PASSED,,both,MATCH
AMSF,PASSED,PASSED,,both,MATCH
AMSS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AMST,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AMTX,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AMZN,PASSED,PASSED,,both,MATCH
ANAB,PASSED,PASSED,,both,MATCH
ANDE,PASSED,PASSED,,both,MATCH
ANGH,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ANGI,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
ANGO,PASSED,PASSED,,both,MATCH
ANIK,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ANIP,PASSED,PASSED,,both,MATCH
ANIX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ANL,PASSED,PASSED,,both,MATCH
ANNA,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ANNX,PASSED,PASSED,,both,MATCH
ANPA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ANTA,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ANTX,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ANY,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AOSL,PASSED,PASSED,,both,MATCH
AOUT,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
APA,PASSED,PASSED,,both,MATCH
APAC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
APC,PASSED,PASSED,,both,MATCH
APEI,PASSED,PASSED,,both,MATCH
APGE,PASSED,PASSED,,both,MATCH
API,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
APLD,PASSED,PASSED,,both,MATCH
APLM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
APM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
APOG,PASSED,PASSED,,both,MATCH
APP,PASSED,PASSED,,both,MATCH
APPF,PASSED,PASSED,,both,MATCH
APPN,PASSED,PASSED,,both,MATCH
APPS,PASSED,PASSED,,both,MATCH
APRE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
APVO,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
APWC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
APXT,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,both,MATCH
APYX,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AQB,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AQMS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AQST,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ARAI,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",both,MATCH
ARAY,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ARBB,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ARBE,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ARBK,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ARCB,PASSED,PASSED,,both,MATCH
ARCL,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ARCT,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
ARDX,PASSED,PASSED,,both,MATCH
AREC,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ARGX,PASSED,PASSED,,both,MATCH
ARHS,PASSED,PASSED,,both,MATCH
ARKO,PASSED,PASSED,,both,MATCH
ARKR,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ARM,PASSED,PASSED,,both,MATCH
AROW,PASSED,PASSED,,both,MATCH
ARQ,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ARQQ,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
ARQT,PASSED,PASSED,,both,MATCH
ARRY,PASSED,PASSED,,both,MATCH
ARTL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ARTNA,PASSED,PASSED,,both,MATCH
ARTV,PASSED,PASSED,,both,MATCH
ARTW,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ARVN,PASSED,PASSED,,both,MATCH
ARWR,PASSED,PASSED,,both,MATCH
ARXS,PASSED,PASSED,,both,MATCH
ASBP,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,both,MATCH
ASLE,PASSED,PASSED,,both,MATCH
ASMB,PASSED,PASSED,,both,MATCH
ASML,PASSED,PASSED,,both,MATCH
ASND,PASSED,PASSED,,both,MATCH
ASO,PASSED,PASSED,,both,MATCH
ASPI,PASSED,PASSED,,both,MATCH
ASPS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ASRT,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,both,MATCH
ASRV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ASST,PASSED,PASSED,,both,MATCH
